,Document_starts,Text,Gold_BSC_seq_integrateIF,Gold_IBCC
149,0,the,1,1
150,0,minimum,1,1
151,0,wage,1,1
152,0,system,1,1
153,0,to,1,1
154,0,avoid,1,1
155,0,the,1,1
156,0,danger,1,1
157,0,of,1,1
158,0,over,1,1
159,0,-,1,1
160,0,pricing,1,1
161,0,labor,1,1
162,0,",",1,1
163,0,while,1,1
164,0,still,1,1
165,0,retaining,1,1
166,0,the,1,1
167,0,demand,1,1
168,0,side,1,1
169,0,benefits,1,1
170,0,a,1,1
171,0,minimum,1,1
172,0,wage,1,1
173,0,confers,1,1
174,0,by,1,1
175,0,improving,1,1
176,0,income,1,1
177,0,distribution,1,1
178,0,and,1,1
179,0,helping,1,1
180,0,tie,1,1
181,0,wages,1,1
182,0,to,1,1
183,0,productivity,1,1
184,0,growth,1,1
185,0,.,1,1
186,1,Nobody,1,1
187,0,wants,1,1
188,0,crime,1,1
189,0,rates,1,1
190,0,to,1,1
191,0,increase,1,1
192,0,so,1,1
193,0,the,2,2
194,0,death,0,0
195,0,penalty,0,0
196,0,is,0,0
197,0,a,0,0
198,0,great,0,0
199,0,solution,0,0
200,0,for,0,0
201,0,the,0,0
202,0,crime,0,0
203,0,rates,0,0
204,0,to,0,0
205,0,lower,0,0
206,0,.,1,1
207,1,Inclusion,1,1
208,0,of,1,1
209,0,abortion,1,1
210,0,providers,1,1
211,0,",",1,1
212,0,abortion,1,1
213,0,clinics,1,1
214,0,",",1,1
215,0,abortion,1,1
216,0,doctors,1,1
217,0,on,1,1
218,0,our,1,1
219,0,directory,1,1
220,0,does,1,1
221,0,not,1,1
222,0,imply,1,1
223,0,endorsement,1,1
224,0,",",1,1
225,0,nor,1,1
226,0,does,1,1
227,0,exclusion,1,1
228,0,imply,1,1
229,0,disapproval,1,1
230,0,.,1,1
231,1,In,1,1
232,0,over,1,1
233,0,50,1,1
234,0,years,1,1
235,0,of,1,1
236,0,operating,1,1
237,0,experience,1,1
238,0,",",1,1
239,0,the,3,3
240,0,nuclear,4,4
241,0,industry,4,4
242,0,still,4,4
243,0,has,4,4
244,0,not,4,4
245,0,managed,4,4
246,0,to,4,4
247,0,solve,4,4
248,0,the,4,4
249,0,problems,4,4
250,0,of,4,4
251,0,safety,4,4
252,0,",",4,4
253,0,security,4,4
254,0,",",4,4
255,0,and,4,4
256,0,disposal,4,4
257,0,of,4,4
258,0,highly,4,4
259,0,dangerous,4,4
260,0,radioactive,4,4
261,0,waste,1,4
262,0,",",1,1
263,0,"""",1,1
264,0,Block,1,1
265,0,said,1,1
266,0,.,1,1
267,1,[,1,1
268,0,7,1,1
269,0,],1,1
270,0,Wood,1,1
271,0,clones,1,1
272,0,are,1,1
273,0,also,1,1
274,0,somewhat,1,1
275,0,inhibited,1,1
276,0,by,1,1
277,0,the,1,1
278,0,actions,1,1
279,0,of,1,1
280,0,the,1,1
281,0,user,1,1
282,0,",",1,1
283,0,so,1,1
284,0,if,1,1
285,0,they,1,1
286,0,are,1,1
287,0,preoccupied,1,1
288,0,with,1,1
289,0,other,1,1
290,0,tasks,1,1
291,0,the,1,1
292,0,wood,1,1
293,0,clones,1,1
294,0,will,1,1
295,0,not,1,1
296,0,be,1,1
297,0,able,1,1
298,0,to,1,1
299,0,act,1,1
300,0,to,1,1
301,0,their,1,1
302,0,full,1,1
303,0,potential,1,1
304,0,.,1,1
305,1,A,1,1
306,0,key,1,1
307,0,study,1,1
308,0,found,1,1
309,0,that,1,1
310,0,the,3,3
311,0,costs,4,4
312,0,of,4,4
313,0,the,4,4
314,0,death,4,4
315,0,penalty,4,4
316,0,are,4,4
317,0,borne,4,4
318,0,primarily,4,4
319,0,by,4,4
320,0,increasing,4,4
321,0,taxes,4,4
322,0,and,4,4
323,0,cutting,4,4
324,0,services,4,4
325,0,like,4,4
326,0,police,4,4
327,0,and,4,4
328,0,highway,4,4
329,0,funding,4,4
330,0,",",1,1
331,0,with,1,1
332,0,county,1,1
333,0,budgets,1,1
334,0,bearing,1,1
335,0,the,1,1
336,0,brunt,1,1
337,0,of,1,1
338,0,the,1,1
339,0,burden,1,1
340,0,.,1,1
341,1,"""",1,1
342,0,We,1,1
343,0,are,1,1
344,0,talking,1,1
345,0,about,1,1
346,0,hundreds,1,3
347,0,of,1,4
348,0,potential,1,4
349,0,`,1,4
350,0,dirty,1,4
351,0,bombs,1,4
352,0,',1,1
353,0,that,1,1
354,0,could,1,1
355,0,have,1,1
356,0,fallen,1,1
357,0,into,1,1
358,0,the,1,1
359,0,hands,1,1
360,0,of,1,1
361,0,terrorists,1,1
362,0,",",1,1
363,0,"""",1,1
364,0,Kiriyenko,1,1
365,0,said,1,1
366,0,.,1,1
367,1,Explains,1,1
368,0,the,1,1
369,0,popularity,1,1
370,0,of,1,1
371,0,minimum,1,1
372,0,wage,1,1
373,0,laws,1,1
374,0,even,1,1
375,0,among,1,1
376,0,those,1,1
377,0,who,1,1
378,0,lose,1,1
379,0,their,1,1
380,0,jobs,1,1
381,0,as,1,1
382,0,a,1,1
383,0,result,1,1
384,0,as,1,1
385,0,stemming,1,1
386,0,from,1,1
387,0,the,1,1
388,0,high,1,1
389,0,turnover,1,1
390,0,in,1,1
391,0,the,1,1
392,0,low,1,1
393,0,-,1,1
394,0,wage,1,1
395,0,market,1,1
396,0,.,1,1
397,1,Nuclear,1,3
398,0,energy,1,4
399,0,is,1,4
400,0,not,1,4
401,0,without,1,4
402,0,its,1,4
403,0,dangers,1,4
404,0,",",1,1
405,0,but,1,1
406,0,with,2,2
407,0,continued,0,0
408,0,research,0,0
409,0,and,0,0
410,0,development,0,0
411,0,nuclear,0,0
412,0,energy,0,0
413,0,could,0,0
414,0,become,0,0
415,0,even,0,0
416,0,safer,0,0
417,0,and,0,0
418,0,produce,0,0
419,0,less,0,0
420,0,waste,0,0
421,0,while,0,0
422,0,providing,0,0
423,0,a,0,0
424,0,reliable,0,0
425,0,source,0,0
426,0,of,0,0
427,0,power,1,0
428,0,.,1,1
429,1,This,1,1
430,0,",",1,1
431,0,coupled,1,1
432,0,with,1,1
433,0,numerous,1,1
434,0,mini,1,1
435,0,-,1,1
436,0,games,1,1
437,0,",",1,1
438,0,means,1,1
439,0,that,1,1
440,0,you,1,1
441,0,will,1,1
442,0,almost,1,1
443,0,certainly,1,1
444,0,experience,1,1
445,0,something,1,1
446,0,new,1,1
447,0,every,1,1
448,0,time,1,1
449,0,you,1,1
450,0,log,1,1
451,0,in,1,1
452,0,.,1,1
453,1,The,2,2
454,0,purpose,0,0
455,0,of,0,0
456,0,the,0,0
457,0,minimum,0,0
458,0,wage,0,0
459,0,rate,0,0
460,0,is,0,0
461,0,to,0,0
462,0,enable,0,0
463,0,low,0,0
464,0,-,0,0
465,0,wage,0,0
466,0,workers,0,0
467,0,to,0,0
468,0,meet,0,0
469,0,basic,0,0
470,0,needs,0,0
471,0,for,0,0
472,0,survival,0,0
473,0,of,0,0
474,0,self,0,0
475,0,and,0,0
476,0,family,0,0
477,0,.,1,1
478,0,.,1,1
479,0,.,1,1
480,1,Investors,1,1
481,0,Service,1,1
482,0,said,1,1
483,0,legal,2,2
484,0,sales,0,0
485,0,will,0,0
486,0,reduce,0,0
487,0,the,0,0
488,0,size,0,0
489,0,of,0,0
490,0,the,0,0
491,0,black,0,0
492,0,market,0,0
493,0,and,1,1
494,0,revenue,1,1
495,0,from,1,1
496,0,NOW,1,1
497,0,THAT,1,1
498,0,COLORADO,1,1
499,0,AND,1,1
500,0,WASHINGTON,1,1
501,0,HAVE,1,1
502,0,LEGALIZED,1,1
503,0,MARIJUANA,1,1
504,0,",",1,1
505,0,THE,1,1
506,0,NEXT,1,1
507,0,FRONTIER,1,1
508,0,-,1,1
509,0,HOW,1,1
510,0,MUCH,1,1
511,0,TO,1,1
512,0,TAX,1,1
513,0,POT,1,1
514,0,.,1,1
515,1,That,1,1
516,0,way,1,1
517,0,",",1,1
518,0,the,1,3
519,0,killings,1,4
520,0,between,1,4
521,0,teenage,1,4
522,0,criminal,1,4
523,0,gangs,1,4
524,0,get,1,4
525,0,counted,1,4
526,0,as,1,4
527,0,"""",1,4
528,0,children,1,4
529,0,"""",1,4
530,0,killed,1,4
531,0,by,1,4
532,0,firearms,1,4
533,0,",",1,4
534,0,as,1,4
535,0,if,1,4
536,0,they,1,4
537,0,were,1,4
538,0,toddlers,1,4
539,0,who,1,4
540,0,found,1,4
541,0,a,1,4
542,0,loaded,1,4
543,0,gun,1,4
544,0,in,1,4
545,0,the,1,4
546,0,house,1,4
547,0,.,1,1
548,1,Post,1,1
549,0,-,1,1
550,0,Abortive,1,1
551,0,People,1,1
552,0,Experience,1,1
553,0,Choosing,3,3
554,0,abortion,4,4
555,0,can,4,4
556,0,be,4,4
557,0,a,4,4
558,0,traumatic,4,4
559,0,experience,4,4
560,0,for,4,4
561,0,everyone,4,4
562,0,involved,4,4
563,0,.,1,1
564,1,Flynn,1,1
565,0,said,1,1
566,0,he,1,1
567,0,also,1,1
568,0,has,1,1
569,0,seen,2,1
570,0,an,0,2
571,0,increase,0,0
572,0,in,0,0
573,0,public,0,0
574,0,school,0,0
575,0,clients,0,0
576,0,who,0,0
577,0,want,0,0
578,0,a,0,0
579,0,specific,0,0
580,0,",",0,0
581,0,identifiable,0,0
582,0,uniform,0,0
583,0,",",1,1
584,0,and,1,1
585,0,also,2,1
586,0,a,0,2
587,0,surge,0,0
588,0,in,0,0
589,0,public,0,0
590,0,charter,0,0
591,0,school,0,0
592,0,customers,0,0
593,0,.,1,1
594,1,Hard,1,1
595,0,Drive,1,1
596,0,Cloning,1,1
597,0,Software,1,1
598,0,Comparisons,1,1
599,0,For,1,1
600,0,most,1,1
601,0,home,1,1
602,0,PC,1,1
603,0,users,1,1
604,0,",",1,1
605,0,the,1,2
606,0,biggest,1,0
607,0,benefit,1,0
608,0,of,1,0
609,0,HDD,1,0
610,0,cloning,1,0
611,0,software,1,0
612,0,is,1,0
613,0,its,1,0
614,0,ability,1,0
615,0,to,1,0
616,0,backup,1,0
617,0,and,1,0
618,0,restore,1,0
619,0,your,1,0
620,0,data,1,0
621,0,in,1,1
622,0,the,1,1
623,0,event,1,1
624,0,of,1,1
625,0,an,1,1
626,0,inevitable,1,1
627,0,computer,1,1
628,0,crash,1,1
629,0,.,1,1
630,1,aWe,1,1
631,0,know,1,1
632,0,that,1,1
633,0,a,2,2
634,0,school,0,0
635,0,uniform,0,0
636,0,policy,0,0
637,0,can,0,0
638,0,help,0,0
639,0,reduce,0,0
640,0,instances,0,0
641,0,of,0,0
642,0,classroom,0,0
643,0,discipline,0,0
644,0,and,0,0
645,0,bullying,0,0
646,0,",",0,0
647,0,as,0,0
648,0,well,0,0
649,0,as,0,0
650,0,improve,0,0
651,0,student,0,0
652,0,safety,0,0
653,0,and,0,0
654,0,attendance,0,0
655,0,.,1,1
656,1,Women,3,3
657,0,can,4,4
658,0,get,4,4
659,0,immediate,4,4
660,0,medical,4,4
661,0,treatment,4,4
662,0,to,4,4
663,0,prevent,4,4
664,0,pregnancy,4,4
665,0,.,1,1
666,1,The,1,1
667,0,relationship,1,1
668,0,between,1,1
669,0,the,1,1
670,0,effective,1,1
671,0,minimum,1,1
672,0,wage,1,1
673,0,and,1,1
674,0,upper,1,1
675,0,percentiles,1,1
676,0,remains,1,1
677,0,pronounced,1,1
678,0,for,1,1
679,0,both,1,1
680,0,males,1,1
681,0,and,1,1
682,0,the,1,1
683,0,pooled,1,1
684,0,distribution,1,1
685,0,",",1,1
686,0,and,1,1
687,0,is,1,1
688,0,now,1,1
689,0,also,1,1
690,0,sizable,1,1
691,0,and,1,1
692,0,significant,1,1
693,0,for,1,1
694,0,females,1,1
695,0,.,1,1
696,1,On,1,1
697,0,the,1,1
698,0,other,1,1
699,0,hand,1,1
700,0,",",1,1
701,0,Royko,1,1
702,0,initially,1,1
703,0,explains,1,1
704,0,that,1,1
705,0,he,1,1
706,0,doesn,1,1
707,0,',1,1
708,0,t,1,1
709,0,really,1,1
710,0,like,1,1
711,0,to,1,1
712,0,"""",1,1
713,0,make,1,1
714,0,fun,1,1
715,0,of,1,1
716,0,people,1,1
717,0,who,1,1
718,0,oppose,1,1
719,0,the,1,1
720,0,death,1,1
721,0,penalty,1,1
722,0,because,1,1
723,0,they,1,1
724,0,are,1,1
725,0,so,1,1
726,0,sincere,1,1
727,0,.,1,1
728,0,"""",1,1
729,1,The,1,1
730,0,bill,1,1
731,0,",",1,1
732,0,which,1,1
733,0,passed,1,1
734,0,",",1,1
735,0,would,1,1
736,0,require,1,1
737,0,doctors,1,1
738,0,to,1,1
739,0,have,1,1
740,0,admitting,1,1
741,0,privileges,1,1
742,0,at,1,1
743,0,nearby,1,1
744,0,hospitals,1,1
745,0,",",1,1
746,0,only,1,1
747,0,allow,1,1
748,0,abortions,1,1
749,0,in,1,1
750,0,surgical,1,1
751,0,centers,1,1
752,0,",",1,1
753,0,dictate,1,1
754,0,when,1,1
755,0,abortion,1,1
756,0,pills,1,1
757,0,are,1,1
758,0,taken,1,1
759,0,and,1,1
760,0,ban,1,1
761,0,abortions,1,1
762,0,after,1,1
763,0,20,1,1
764,0,weeks,1,1
765,0,.,1,1
766,1,Crime,2,2
767,0,and,0,0
768,0,violence,0,0
769,0,are,0,0
770,0,greatly,0,0
771,0,increased,0,0
772,0,due,0,0
773,0,to,0,0
774,0,the,0,0
775,0,illegal,0,0
776,0,selling,0,0
777,0,and,0,0
778,0,buying,0,0
779,0,of,0,0
780,0,marijuana,0,0
781,0,.,1,1
782,1,Then,1,1
783,0,",",1,1
784,0,increased,1,2
785,0,crime,1,0
786,0,rates,1,0
787,0,",",1,0
788,0,high,1,0
789,0,profile,1,0
790,0,trials,1,0
791,0,",",1,0
792,0,and,1,0
793,0,public,1,0
794,0,concern,1,0
795,0,about,1,0
796,0,law,1,0
797,0,and,1,0
798,0,order,1,0
799,0,drove,1,1
800,0,public,1,1
801,0,support,1,1
802,0,for,1,1
803,0,the,1,1
804,0,death,1,1
805,0,penalty,1,1
806,0,to,1,1
807,0,even,1,1
808,0,greater,1,1
809,0,levels,1,1
810,0,.,1,1
811,1,[,1,1
812,0,8,1,1
813,0,],1,1
814,0,The,1,1
815,0,CBO,1,1
816,0,reported,1,1
817,0,in,1,1
818,0,February,1,1
819,0,2014,1,1
820,0,that,1,1
821,0,income,2,2
822,0,(,0,0
823,0,GDP,0,0
824,0,),0,0
825,0,overall,0,0
826,0,would,0,0
827,0,be,0,0
828,0,marginally,0,0
829,0,higher,0,0
830,0,after,0,0
831,0,raising,0,0
832,0,the,0,0
833,0,minimum,0,0
834,0,wage,0,0
835,0,",",0,0
836,0,indicating,0,0
837,0,a,0,0
838,0,small,0,0
839,0,net,0,0
840,0,positive,0,0
841,0,increase,1,0
842,0,in,1,0
843,0,growth,1,0
844,0,.,1,1
845,1,And,2,1
846,0,the,0,2
847,0,black,0,0
848,0,market,0,0
849,0,benefits,0,0
850,0,from,0,0
851,0,the,0,0
852,0,high,0,0
853,0,taxes,0,0
854,0,",",1,1
855,0,too,1,1
856,0,-,1,1
857,0,as,1,1
858,0,their,1,1
859,0,products,1,1
860,0,can,1,1
861,0,be,1,1
862,0,sold,1,1
863,0,for,1,1
864,0,much,1,1
865,0,less,1,1
866,0,.,1,1
867,1,[,1,1
868,0,6,1,1
869,0,],1,1
870,0,School,3,3
871,0,uniforms,4,4
872,0,are,4,4
873,0,often,4,4
874,0,impractical,4,4
875,0,or,4,4
876,0,uncomfortable,4,4
877,0,Point,4,1
878,0,School,4,3
879,0,uniforms,4,4
880,0,are,4,4
881,0,often,4,4
882,0,not,4,4
883,0,very,4,4
884,0,comfortable,4,4
885,0,or,4,4
886,0,practical,4,4
887,0,.,1,1
888,1,Moorhouse,1,1
889,0,:,1,1
890,0,I,3,3
891,0,found,4,4
892,0,absolutely,4,4
893,0,no,4,4
894,0,support,4,4
895,0,that,4,4
896,0,gun,4,4
897,0,control,4,4
898,0,laws,4,4
899,0,reduce,4,4
900,0,crime,4,4
901,0,rates,4,4
902,0,.,1,1
903,1,After,1,1
904,0,Chicagoas,1,1
905,0,ban,1,1
906,0,on,1,1
907,0,such,1,1
908,0,firearms,1,1
909,0,was,1,1
910,0,struck,1,1
911,0,down,1,1
912,0,in,1,1
913,0,2010,1,1
914,0,",",1,1
915,0,the,1,1
916,0,city,1,1
917,0,passed,1,1
918,0,a,1,1
919,0,new,1,1
920,0,law,1,1
921,0,requiring,1,1
922,0,anyone,1,1
923,0,who,1,1
924,0,wanted,1,1
925,0,to,1,1
926,0,keep,1,1
927,0,a,1,1
928,0,handgun,1,1
929,0,at,1,1
930,0,home,1,1
931,0,to,1,1
932,0,complete,1,1
933,0,an,1,1
934,0,hour,1,1
935,0,of,1,1
936,0,training,1,1
937,0,on,1,1
938,0,a,1,1
939,0,gun,1,1
940,0,range,1,1
941,0,.,1,1
942,1,Students,2,2
943,0,do,0,0
944,0,not,0,0
945,0,worry,0,0
946,0,about,0,0
947,0,how,0,0
948,0,they,0,0
949,0,look,0,0
950,0,and,0,0
951,0,are,0,0
952,0,therefore,0,0
953,0,able,0,0
954,0,to,0,0
955,0,concentrate,0,0
956,0,more,0,0
957,0,on,0,0
958,0,their,0,0
959,0,studies,0,0
960,0,rather,1,1
961,0,than,1,1
962,0,social,1,1
963,0,plans,1,1
964,0,.,1,1
965,1,However,1,1
966,0,",",1,1
967,0,the,3,3
968,0,babies,4,4
969,0,seemingly,4,4
970,0,have,4,4
971,0,no,4,4
972,0,right,4,4
973,0,to,4,4
974,0,protection,4,4
975,0,or,4,4
976,0,life,4,4
977,0,themselves,4,4
978,0,because,1,4
979,0,of,1,4
980,0,the,1,4
981,0,argument,1,4
982,0,regarding,1,4
983,0,when,1,4
984,0,a,1,4
985,0,fetus,1,4
986,0,is,1,4
987,0,determined,1,4
988,0,be,1,4
989,0,human,1,4
990,0,and,1,4
991,0,have,1,4
992,0,life,1,4
993,0,.,1,1
994,1,According,1,1
995,0,to,1,1
996,0,a,1,1
997,0,poll,1,1
998,0,taken,1,1
999,0,in,1,1
1000,0,May,1,1
1001,0,",",1,1
1002,0,57,1,1
1003,0,percent,1,1
1004,0,of,1,1
1005,0,likely,1,1
1006,0,voters,1,1
1007,0,in,1,1
1008,0,Oregon,1,1
1009,0,support,1,1
1010,0,a,1,1
1011,0,proposal,1,1
1012,0,to,1,1
1013,0,tax,1,1
1014,0,",",1,1
1015,0,regulate,1,1
1016,0,and,1,1
1017,0,legalize,1,1
1018,0,marijuana,1,1
1019,0,for,1,1
1020,0,recreational,1,1
1021,0,use,1,1
1022,0,.,1,1
1023,1,South,1,1
1024,0,Korea,1,1
1025,0,Those,1,1
1026,0,convicted,1,1
1027,0,of,1,1
1028,0,possessing,1,1
1029,0,",",1,1
1030,0,using,1,1
1031,0,",",1,1
1032,0,or,1,1
1033,0,trafficking,1,1
1034,0,illegal,1,1
1035,0,drugs,1,1
1036,0,can,1,1
1037,0,suffer,1,1
1038,0,long,1,1
1039,0,jail,1,1
1040,0,sentences,1,1
1041,0,",",1,1
1042,0,large,1,1
1043,0,fines,1,1
1044,0,and,1,1
1045,0,deportation,1,1
1046,0,.,1,1
1047,1,Therefore,1,1
1048,0,",",1,1
1049,0,pursuing,2,2
1050,0,a,0,2
1051,0,higher,0,0
1052,0,minimum,0,0
1053,0,wage,0,0
1054,0,at,0,0
1055,0,this,0,0
1056,0,juncture,0,0
1057,0,will,0,0
1058,0,not,0,0
1059,0,only,0,0
1060,0,provide,0,0
1061,0,raises,0,0
1062,0,for,0,0
1063,0,low,0,0
1064,0,-,0,0
1065,0,wage,0,0
1066,0,workers,0,0
1067,0,but,0,0
1068,0,would,0,0
1069,0,provide,0,0
1070,0,some,0,0
1071,0,help,0,0
1072,0,on,0,0
1073,0,the,0,0
1074,0,jobs,0,0
1075,0,front,0,0
1076,0,as,0,0
1077,0,well,1,0
1078,0,.,1,1
1079,1,"""They",1,1
1080,0,don't,1,1
1081,0,want,1,1
1082,0,it,1,1
1083,0,to,1,1
1084,0,go,1,1
1085,0,anywhere,1,1
1086,0,",",1,1
1087,0,and,1,1
1088,0,they,1,1
1089,0,don't,1,1
1090,0,want,1,1
1091,0,it,1,1
1092,0,to,1,1
1093,0,be,1,1
1094,0,on,1,1
1095,0,the,1,1
1096,0,site,1,1
1097,0,",",1,1
1098,0,"""",1,1
1099,0,Zuercher,1,1
1100,0,said,1,1
1101,0,.,1,1
1102,1,There,1,1
1103,0,one,1,1
1104,0,finds,1,1
1105,0,broad,1,1
1106,0,agreement,1,1
1107,0,that,1,1
1108,0,the,3,3
1109,0,minimum,4,4
1110,0,wage,4,4
1111,0,causes,4,4
1112,0,unemployment,4,4
1113,0,among,4,4
1114,0,low,4,4
1115,0,-,4,4
1116,0,skilled,4,4
1117,0,workers,4,4
1118,0,.,1,1
1119,1,As,1,1
1120,0,a,1,1
1121,0,result,1,1
1122,0,of,1,1
1123,0,these,1,1
1124,0,decisions,1,1
1125,0,",",1,1
1126,0,21,1,1
1127,0,states,1,1
1128,0,threw,1,1
1129,0,out,1,1
1130,0,their,1,1
1131,0,old,1,1
1132,0,mandatory,1,1
1133,0,death,1,1
1134,0,penalty,1,1
1135,0,laws,1,1
1136,0,and,1,1
1137,0,hundreds,1,1
1138,0,of,1,1
1139,0,death,1,1
1140,0,row,1,1
1141,0,prisoners,1,1
1142,0,had,1,1
1143,0,their,1,1
1144,0,sentences,1,1
1145,0,changed,1,1
1146,0,to,1,1
1147,0,life,1,1
1148,0,in,1,1
1149,0,prison,1,1
1150,0,.,1,1
1151,1,We,1,1
1152,0,need,1,1
1153,0,an,1,1
1154,0,AC,1,1
1155,0,which,1,1
1156,0,can,1,1
1157,0,tell,1,1
1158,0,us,1,1
1159,0,that,1,1
1160,0,the,1,1
1161,0,strict,1,2
1162,0,gun,1,0
1163,0,control,1,0
1164,0,is,1,0
1165,0,effective,1,0
1166,0,even,1,1
1167,0,though,1,1
1168,0,the,1,1
1169,0,statistics,1,1
1170,0,are,1,1
1171,0,not,1,1
1172,0,that,1,1
1173,0,great,1,1
1174,0,as,1,1
1175,0,of,1,1
1176,0,now,1,1
1177,0,.,1,1
1178,1,The,1,1
1179,0,rapid,1,1
1180,0,intervention,1,1
1181,0,force,1,1
1182,0,is,1,1
1183,0,essential,1,1
1184,0,to,1,1
1185,0,nuclear,1,1
1186,0,safety,1,1
1187,0,.,1,1
1188,1,When,1,1
1189,0,cost,1,1
1190,0,",",1,1
1191,0,inconvenience,1,1
1192,0,",",1,1
1193,0,embarrassment,1,1
1194,0,or,1,1
1195,0,potential,1,1
1196,0,liability,1,1
1197,0,increase,1,1
1198,0,",",1,1
1199,0,then,1,1
1200,0,fewer,1,1
1201,0,people,1,1
1202,0,take,1,1
1203,0,an,1,1
1204,0,interest,1,1
1205,0,in,1,1
1206,0,firearms,1,1
1207,0,.,1,1
1208,1,a,1,1
1209,0,Linux,1,1
1210,0,LiveCD,1,1
1211,0,based,1,1
1212,0,boot,1,1
1213,0,CD,1,1
1214,0,that,1,1
1215,0,allows,1,1
1216,0,cloning,1,1
1217,0,of,1,1
1218,0,computer,1,1
1219,0,hard,1,1
1220,0,drives,1,1
1221,0,to,1,1
1222,0,backup,1,1
1223,0,data,1,1
1224,0,or,1,1
1225,0,migrating,1,1
1226,0,system,1,1
1227,0,to,1,1
1228,0,another,1,1
1229,0,PC,1,1
1230,0,.,1,1
1231,1,Furthermore,1,1
1232,0,",",1,1
1233,0,there,3,3
1234,0,is,4,4
1235,0,no,4,4
1236,0,guarantee,4,4
1237,0,that,4,4
1238,0,marijuana,4,4
1239,0,legalization,4,4
1240,0,would,4,4
1241,0,significantly,4,4
1242,0,diminish,4,4
1243,0,the,4,4
1244,0,underground,4,4
1245,0,market,4,4
1246,0,for,4,4
1247,0,marijuana,4,4
1248,0,.,1,1
1249,1,This,1,1
1250,0,suggests,1,1
1251,0,that,1,1
1252,0,both,1,1
1253,0,laws,1,1
1254,0,represent,1,1
1255,0,a,1,1
1256,0,negligible,1,1
1257,0,increase,1,1
1258,0,in,1,1
1259,0,the,1,1
1260,0,effective,1,1
1261,0,total,1,1
1262,0,cost,1,1
1263,0,to,1,1
1264,0,women,1,1
1265,0,of,1,1
1266,0,obtaining,1,1
1267,0,an,1,1
1268,0,abortion,1,1
1269,0,of,1,1
1270,0,an,1,1
1271,0,unintended,1,1
1272,0,pregnancy,1,1
1273,0,.,1,1
1274,1,Demonstrators,1,1
1275,0,called,1,1
1276,0,for,1,1
1277,0,new,1,1
1278,0,gun,1,1
1279,0,control,1,1
